Agency No.,Agency Name,Agency Address,Agency City,Agency Zip Code,Agency Phone No.,Agency E-mail,Agency Contact,Date,Frequency,Day of Week,Morning Opening Hour,Morning Closing Hour,Afternoon Opening Hour,Afternoon Closing Hour,Comments
40,Eastmont Community Center,701 Hoefner Avenue,Los Angeles,90022,323.726.7998,Eastmontcenter1@aol.com,Herlinda Ponder,,,Friday,9:00:00 AM,11:00:00 AM,,,
41,St. Mary's Place,7215 Newlin Avenue,Whittier,90602,562.698.0107,ceciliasosasmpo@yahoo.com,Cecilia Seelie-Sosa,,3rd,Saturday,,,12:00:00 PM,2:00:00 PM,
41,St. Mary's Place,7215 Newlin Avenue,Whittier,90602,562.698.0107,ceciliasosasmpo@yahoo.com,Cecilia Seelie-Sosa,,,Monday,9:00:00 AM,,,12:00:00 PM,Make Appointment
41,St. Mary's Place,7215 Newlin Avenue,Whittier,90602,562.698.0107,ceciliasosasmpo@yahoo.com,Cecilia Seelie-Sosa,,,Tuesday,9:00:00 AM,,,12:00:00 PM,Make Appointment
41,St. Mary's Place,7215 Newlin Avenue,Whittier,90602,562.698.0107,ceciliasosasmpo@yahoo.com,Cecilia Seelie-Sosa,,,Wednesday,9:00:00 AM,,,12:00:00 PM,Make Appointment
43,St. Francis Center,1835 S. Hope Street,Los Angeles,90015,213.747.5347,faye@sfcla.org,Faye Alpaugh,,,Tuesday,11:00:00 AM,,,12:30:00 PM,
43,St. Francis Center,1835 S. Hope Street,Los Angeles,90015,213.747.5347,faye@sfcla.org,Faye Alpaugh,,,Wednesday,11:00:00 AM,,,12:30:00 PM,
43,St. Francis Center,1835 S. Hope Street,Los Angeles,90015,213.747.5347,faye@sfcla.org,Faye Alpaugh,,,Thursday,11:00:00 AM,,,12:30:00 PM,
43,St. Francis Center,1835 S. Hope Street,Los Angeles,90015,213.747.5347,faye@sfcla.org,Faye Alpaugh,,,Saturday,11:00:00 AM,,,12:30:00 PM,
45,El Monte/South Emergency,10900 Mulhall Street,South El Monte,91731,626.444.7269,emsemera@sbcglobal.net,Lillian Rey,,Deliver,Monday,8:00:00 AM,,,5:00:00 PM,
45,El Monte/South Emergency,10900 Mulhall Street,South El Monte,91731,626.444.7269,emsemera@sbcglobal.net,Lillian Rey,,Deliver,Tuesday,8:00:00 AM,,,5:00:00 PM,
45,El Monte/South Emergency,10900 Mulhall Street,South El Monte,91731,626.444.7269,emsemera@sbcglobal.net,Lillian Rey,,Deliver,Wednesday,8:00:00 AM,,,5:00:00 PM,
45,El Monte/South Emergency,10900 Mulhall Street,South El Monte,91731,626.444.7269,emsemera@sbcglobal.net,Lillian Rey,,Deliver,Thursday,8:00:00 AM,,,5:00:00 PM,
45,El Monte/South Emergency,10900 Mulhall Street,South El Monte,91731,626.444.7269,emsemera@sbcglobal.net,Lillian Rey,,Deliver,Friday,8:00:00 AM,,,5:00:00 PM,
47,Ecumenical Council of Pasadena Area Congregations,444 East Washington Boulevard,Pasadena,91104,626.797.2402,pantry@ecpac.net,Tim Nistler,,,Tuesday,9:00:00 AM,,,3:00:00 PM,
47,Ecumenical Council of Pasadena Area Congregations,444 East Washington Boulevard,Pasadena,91104,626.797.2402,pantry@ecpac.net,Tim Nistler,,,Wednesday,9:00:00 AM,,,3:00:00 PM,
70,Berean S.D.A. Church,4211 W. Adams Boulevard,Los Angeles,90018,323.735.0228,cmaples3804@aol.com,Charles Maples,,3rd,Thursday,9:00:00 AM,11:00:00 AM,,,
85,St. Lawrence of Brindisi,10122 Compton Avenue,Los Angeles,90002,323.567.1439,brinchur@yahoo.com,Teresa Perez,,,Tuesday,7:00:00 AM,8:30:00 AM,,,
85,St. Lawrence of Brindisi,10122 Compton Avenue,Los Angeles,90002,323.567.1439,brinchur@yahoo.com,Teresa Perez,,,Thursday,7:00:00 AM,8:30:00 AM,,,
99,North Hollywood Interfaith Food Pantry,4390 Colfax Avenue,North Hollywood,91604,818.760.3575,"luis@fccnh.org, bjavitz@gmail.com, jveatch@kent.edu, harryharlynd@hotmail.com",Luis Oliart,,,Monday,8:30:00 AM,,,1:00:00 PM,
99,North Hollywood Interfaith Food Pantry,4390 Colfax Avenue,North Hollywood,91604,818.760.3575,"luis@fccnh.org, bjavitz@gmail.com, jveatch@kent.edu, harryharlynd@hotmail.com",Luis Oliart,,,Friday,8:30:00 AM,,,1:00:00 PM,
118,Santa Clarita Valley Food Pantry,24133 Railroad Avenue,Newhall,91321,661.255.9078,executive_director@scvfoodpantry.org,Lily Wolfe,,3rd,Friday,9:00:00 AM,,,12:00:00 PM,
127,St. Thomas Center,2727 W.  Pico Boulevard,Los Angeles,90006,323.737.3325,juliesandoval50@aol.com,Fr. Arturo Corral,,"1st, 2nd & 3rd",Saturday,7:00:00 AM,9:00:00 AM,,,
134,Lutheran Social Services of Southern California,21430 Strathern Street,Canoga Park,91304,818.901.9480 ,FKilner@lsssc.org ,Fiona Kilner ,,,Tuesday,10:00:00 AM,11:45:00 AM,1:00:00 PM,2:45:00 PM,
134,Lutheran Social Services of Southern California,21430 Strathern Street,Canoga Park,91304,818.901.9480 ,FKilner@lsssc.org ,Fiona Kilner ,,,Wednesday,10:00:00 AM,11:45:00 AM,1:00:00 PM,2:45:00 PM,
134,Lutheran Social Services of Southern California,21430 Strathern Street,Canoga Park,91304,818.901.9480 ,FKilner@lsssc.org ,Fiona Kilner ,,,Thursday,10:00:00 AM,11:45:00 AM,1:00:00 PM,2:45:00 PM,
134,Lutheran Social Services of Southern California,21430 Strathern Street,Canoga Park,91304,818.901.9480 ,FKilner@lsssc.org ,Fiona Kilner ,,,Friday,10:00:00 AM,11:45:00 AM,1:00:00 PM,2:45:00 PM,
149,Tamarind Avenue S.D.A. Church,417 S. Tamarind Avenue,Compton,90220,310-386-8803,tamarindave@aol.com,Mila Bailey ,,4th,Tuesday,9:00:00 AM,,,12:00:00 PM,
155,Southeast Churches Service Center,2780 E. Gage Avenue,Huntington Park,90255,323.585.8254,"molina_andy@hotmail.com, Felix.Maria12@gmail.com",Andy Molina,,,Monday,9:00:00 AM,12:00:00 PM,1:00:00 PM,4:00:00 PM,
155,Southeast Churches Service Center,2780 E. Gage Avenue,Huntington Park,90255,323.585.8254,"molina_andy@hotmail.com, Felix.Maria12@gmail.com",Andy Molina,,,Tuesday,9:00:00 AM,12:00:00 PM,1:00:00 PM,4:00:00 PM,
155,Southeast Churches Service Center,2780 E. Gage Avenue,Huntington Park,90255,323.585.8254,"molina_andy@hotmail.com, Felix.Maria12@gmail.com",Andy Molina,,,Wednesday,9:00:00 AM,12:00:00 PM,1:00:00 PM,4:00:00 PM,
155,Southeast Churches Service Center,2780 E. Gage Avenue,Huntington Park,90255,323.585.8254,"molina_andy@hotmail.com, Felix.Maria12@gmail.com",Andy Molina,,,Thursday,9:00:00 AM,12:00:00 PM,1:00:00 PM,4:00:00 PM,
155,Southeast Churches Service Center,2780 E. Gage Avenue,Huntington Park,90255,323.585.8254,"molina_andy@hotmail.com, Felix.Maria12@gmail.com",Andy Molina,,,Friday,9:00:00 AM,12:00:00 PM,1:00:00 PM,4:00:00 PM,
156,Maranatha S.D.A. Community Center,3569 W. Manchester Blvd.,Inglewood,90305,323.971.3511,ebeth.morgan@yahoo.com,Ebeth  Morgan,,2nd & 4th,Saturday,,,2:00:00 PM,3:00:00 PM,
160,Sunland Tujunga T.A.C.,7747 Foothill Boulevard,Tujunga,91042,818.352.2421,tinkerbell8882002@yahoo.com,Jan Brazil,,,Wednesday,9:00:00 AM,11:30:00 AM,,,
160,Sunland Tujunga T.A.C.,7747 Foothill Boulevard,Tujunga,91042,818.352.2421,tinkerbell8882002@yahoo.com,Jan Brazil,,,Thursday,9:00:00 AM,11:30:00 AM,,,
160,Sunland Tujunga T.A.C.,7747 Foothill Boulevard,Tujunga,91042,818.352.2421,tinkerbell8882002@yahoo.com,Jan Brazil,,,Friday,9:00:00 AM,11:30:00 AM,,,
195,Boys & Girls Club-San Gabriel,2740 Mountain View Road,El Monte,91732,626.442.5470,jackbgc@pacbell.net,Jack Gutowski/ Larry,,,Friday,11:00:00 AM,,,1:00:00 PM,
198,Catholic Charities of L.A.,4665 Willow Brook Avenue,Los Angeles,90029,213.251.3597,mmrod4@yahoo.com,Beatriz Garcia ,,,Monday,10:00:00 AM,12:00:00 PM,1:00:00 PM,3:00:00 PM,
198,Catholic Charities of L.A.,4665 Willow Brook Avenue,Los Angeles,90029,213.251.3597,mmrod4@yahoo.com,Beatriz Garcia ,,,Wednesday,10:00:00 AM,12:00:00 PM,1:00:00 PM,3:00:00 PM,
198,Catholic Charities of L.A.,4665 Willow Brook Avenue,Los Angeles,90029,213.251.3597,mmrod4@yahoo.com,Beatriz Garcia ,,,Thursday,10:00:00 AM,12:00:00 PM,1:00:00 PM,3:00:00 PM,
198,Catholic Charities of L.A.,4665 Willow Brook Avenue,Los Angeles,90029,213.251.3597,mmrod4@yahoo.com,Beatriz Garcia ,,,Friday,10:00:00 AM,12:00:00 PM,1:00:00 PM,3:00:00 PM,
204,Bethel S.D.A. Church,1921 N. Garey Avenue,Pomona,91767,909.630.5883,bbbea84@hotmail.com,Tina Browne,,1st & 3rd,Sunday,11:00:00 AM,,,1:00:00 PM,
212,Interfaith Food Center,11819 Burke Street,Sante Fe Springs,90670,562.903.1478,Vhernandez@interfaithfoodcenter.org,Veronica Hernandez,,,Monday,8:30:00 AM,10:00:00 AM,10:30:00 AM,12:00:00 PM,
212,Interfaith Food Center,11819 Burke Street,Sante Fe Springs,90670,562.903.1478,Vhernandez@interfaithfoodcenter.org,Veronica Hernandez,,,Tuesday,,,4:30:00 PM,7:00:00 PM,
212,Interfaith Food Center,11819 Burke Street,Sante Fe Springs,90670,562.903.1478,Vhernandez@interfaithfoodcenter.org,Veronica Hernandez,,,Tuesday,8:30:00 AM,10:00:00 AM,10:30:00 AM,12:00:00 PM,
212,Interfaith Food Center,11819 Burke Street,Sante Fe Springs,90670,562.903.1478,Vhernandez@interfaithfoodcenter.org,Veronica Hernandez,,,Thursday,8:30:00 AM,10:00:00 AM,10:30:00 AM,12:00:00 PM,
212,Interfaith Food Center,11819 Burke Street,Sante Fe Springs,90670,562.903.1478,Vhernandez@interfaithfoodcenter.org,Veronica Hernandez,,,Friday,8:30:00 AM,10:00:00 AM,10:30:00 AM,12:00:00 PM,
213,Foothill Unity Center,415 W. Chestnut Avenue,Monrovia,91016,626.359.1777,betty@foothillunitycenter.org,Betty Mc Williams,,,Monday,,,1:00:00 PM,3:30:00 PM,
213,Foothill Unity Center,415 W. Chestnut Avenue,Monrovia,91016,626.359.1777,betty@foothillunitycenter.org,Betty Mc Williams,,,Wednesday,9:00:00 AM,11:30:00 AM,,,
213,Foothill Unity Center,415 W. Chestnut Avenue,Monrovia,91016,626.359.1777,betty@foothillunitycenter.org,Betty Mc Williams,,,Friday,9:00:00 AM,11:30:00 AM,,,
214,University S.D.A. Church,1135 Martin Luther Kin Jr. Boulevard,Los Angeles,90037,323.766.9889,allamericannationalrealty@yahoo.com,Ray Roldan,,,Wednesday,,,1:00:00 PM,2:30:00 PM,
216,First Presbyterian Church,1809 West Boulevard.,Los Angeles,90019,323.935.5204,first.united@att.net,Eugene Barnett ,,1st ,Sunday,,,1:00:00 PM,2:00:00 PM,
216,First Presbyterian Church,1809 West Boulevard.,Los Angeles,90019,323.935.5204,first.united@att.net,Eugene Barnett ,,3rd,Saturday,9:00:00 AM,11:00:00 AM,,,
217,Our Lady Queen of Angels Catholic Church,535 N. Main Street,Los Angeles,90012,213.629.3101,armenta78@hotmail.com,Guillermo Armenta,,,Friday,8:00:00 AM,11:00:00 AM,,,
219,Salvation Army-Pasadena Tabernacle,1000 E.Walnut Street,Pasadena,91106,626.773.4400,Dorothy.outley@usw.salvationarmy.org,Alma Jhoana Hirasuna,,,Monday,9:00:00 AM,11:30:00 AM,,,BY APPT IN THE PM.
219,Salvation Army-Pasadena Tabernacle,1000 E.Walnut Street,Pasadena,91106,626.773.4400,Dorothy.outley@usw.salvationarmy.org,Alma Jhoana Hirasuna,,,Tuesday,9:00:00 AM,11:30:00 AM,,,BY APPT IN THE PM.
219,Salvation Army-Pasadena Tabernacle,1000 E.Walnut Street,Pasadena,91106,626.773.4400,Dorothy.outley@usw.salvationarmy.org,Alma Jhoana Hirasuna,,,Wednesday,9:00:00 AM,11:30:00 AM,,,BY APPT IN THE PM.
219,Salvation Army-Pasadena Tabernacle,1000 E.Walnut Street,Pasadena,91106,626.773.4400,Dorothy.outley@usw.salvationarmy.org,Alma Jhoana Hirasuna,,,Thursday,9:00:00 AM,11:30:00 AM,,,BY APPT IN THE PM.
219,Salvation Army-Pasadena Tabernacle,1000 E.Walnut Street,Pasadena,91106,626.773.4400,Dorothy.outley@usw.salvationarmy.org,Alma Jhoana Hirasuna,,,Friday,9:00:00 AM,11:30:00 AM,,,BY APPT IN THE PM.
230,Chinese Community Service Center,"1725 Beverly Boulevard, Suite 1-B",Los Angeles,90026,213-483-3035,centralcommunityservices@hotmail.com,Kai Li,12/1/2015,,Monday,9:00:00 AM,,,12:00:00 PM,
231,Church of the Epiphany,2808 Altura Street,Los Angeles,90031,323.227.9931,tomascarey@gmail.com,Brother Tom Cary,,2nd & 4th,Friday,10:30:00 AM,11:30:00 AM,,,
236,Church of the Redeemer,3739 North Monterey Avenue,Baldwin Park,91706,626.960.9585,emailtheoffice@yahoo.com,Cecilia Bernal,,Emergency Appt.,Monday,9:00:00 AM,,,1:00:00 PM,
236,Church of the Redeemer,3739 North Monterey Avenue,Baldwin Park,91706,626.960.9585,emailtheoffice@yahoo.com,Cecilia Bernal,,Emergency Appt.,Tuesday,9:00:00 AM,,,1:00:00 PM,
236,Church of the Redeemer,3739 North Monterey Avenue,Baldwin Park,91706,626.960.9585,emailtheoffice@yahoo.com,Cecilia Bernal,,Emergency Appt.,Wednesday,9:00:00 AM,,,1:00:00 PM,
236,Church of the Redeemer,3739 North Monterey Avenue,Baldwin Park,91706,626.960.9585,emailtheoffice@yahoo.com,Cecilia Bernal,,Emergency Appt.,Thursday,9:00:00 AM,,,1:00:00 PM,
236,Church of the Redeemer,3739 North Monterey Avenue,Baldwin Park,91706,626.960.9585,emailtheoffice@yahoo.com,Cecilia Bernal,,Emergency Appt.,Friday,9:00:00 AM,,,1:00:00 PM,
236,Church of the Redeemer,3739 North Monterey Avenue,Baldwin Park,91706,626.960.9585,emailtheoffice@yahoo.com,Cecilia Bernal,,Last,Saturday,7:00:00 AM,9:00:00 AM,,,
253,Holy Cross Center,104 W. 47th Place,Los Angeles,90037,323.232.3333,alma@holycrosscenter.org,Alma Zavalva,,,Monday,9:00:00 AM,11:00:00 AM,,,
253,Holy Cross Center,104 W. 47th Place,Los Angeles,90037,323.232.3333,alma@holycrosscenter.org,Alma Zavalva,,,Wednesday,9:00:00 AM,11:00:00 AM,,,
253,Holy Cross Center,104 W. 47th Place,Los Angeles,90037,323.232.3333,alma@holycrosscenter.org,Alma Zavalva,,,Friday,9:00:00 AM,11:00:00 AM,,,
258,Willowbrook Project Area Commission,11901 S. Willowbrook Avenue,Los Angeles,90059,323-569-7676,Delglass323@aol.com,Lille Curry,,2nd,Wednesday,,,5:00:00 PM,7:00:00 PM,
258,Willowbrook Project Area Commission,11901 S. Willowbrook Avenue,Los Angeles,90059,323-569-7676,Delglass323@aol.com,Lille Curry,,3rd,Saturday,10:00:00 AM,,12:00:00 PM,,
273,St. Agnes Parish,2625 S. Vermont Avenue,Los Angeles,90007,323-731-2464 ,stagneschurch@yahoo.com,Sister Maryanne O'Neill,,,Monday,9:00:00 AM,10:30:00 AM,,,
273,St. Agnes Parish,2625 S. Vermont Avenue,Los Angeles,90007,323-731-2464 ,stagneschurch@yahoo.com,Sister Maryanne O'Neill,,,Tuesday,9:00:00 AM,10:30:00 AM,,,
273,St. Agnes Parish,2625 S. Vermont Avenue,Los Angeles,90007,323-731-2464 ,stagneschurch@yahoo.com,Sister Maryanne O'Neill,,,Thursday,9:00:00 AM,10:30:00 AM,,,
273,St. Agnes Parish,2625 S. Vermont Avenue,Los Angeles,90007,323-731-2464 ,stagneschurch@yahoo.com,Sister Maryanne O'Neill,,,Friday,9:00:00 AM,10:30:00 AM,,,
275,Our Saviour Center,4368 Santa Anita Avenue,EL Monte,91731,626.579.2190,DianeW@our-center.org,Diane Williams,,,Tuesday,10:00:00 AM,,,1:00:00 PM,
275,Our Saviour Center,4368 Santa Anita Avenue,EL Monte,91731,626.579.2190,DianeW@our-center.org,Diane Williams,,,Thursday,10:00:00 AM,,,1:00:00 PM,Closed 11/26 and 12/24
287,Loaves & Fishes-Canoga Park,21600 Hart Street,Canoga Park,91303,818.340.2050,cwrightson@ccharities.org,Charles Nava (Skip) Wrightson,,,Monday,9:00:00 AM,,,12:00:00 PM,
287,Loaves & Fishes-Canoga Park,21600 Hart Street,Canoga Park,91303,818.340.2050,cwrightson@ccharities.org,Charles Nava (Skip) Wrightson,,,Wednesday,9:00:00 AM,,,12:00:00 PM,
287,Loaves & Fishes-Canoga Park,21600 Hart Street,Canoga Park,91303,818.340.2050,cwrightson@ccharities.org,Charles Nava (Skip) Wrightson,,,Friday,9:00:00 AM,,,12:00:00 PM,
288,All Peoples Christian Center,822 E. 20th Street,Los Angeles,90011,213-747-6357,jramos@allpeoplescc.org,Ryan McGowan,,,Friday,,,12:00:00 PM,5:00:00 PM,
296,Fifty Fourth Street S.D.A. Church,1973 West 54th Street,Los Angeles,90062,323-292-2762 ,office@54thstreetsda.org,Margaret Carson,,2nd & 4th,Tuesday,8:00:00 AM,10:00:00 AM,,,
302,Prince of Peace Coalition,5700 Rudnick Avenue,Woodland Hills,91367,818-346-5554,alfredtrumpler@att.net,Margaret Shivley,,,Monday,10:00:00 AM,,,3:00:00 PM,
302,Prince of Peace Coalition,5700 Rudnick Avenue,Woodland Hills,91367,818-346-5554,alfredtrumpler@att.net,Margaret Shivley,,,Tuesday,10:00:00 AM,,,3:00:00 PM,
302,Prince of Peace Coalition,5700 Rudnick Avenue,Woodland Hills,91367,818-346-5554,alfredtrumpler@att.net,Margaret Shivley,,,Wednesday,10:00:00 AM,,,3:00:00 PM,
302,Prince of Peace Coalition,5700 Rudnick Avenue,Woodland Hills,91367,818-346-5554,alfredtrumpler@att.net,Margaret Shivley,,,Thursday,10:00:00 AM,,,3:00:00 PM,
302,Prince of Peace Coalition,5700 Rudnick Avenue,Woodland Hills,91367,818-346-5554,alfredtrumpler@att.net,Margaret Shivley,,,Friday,10:00:00 AM,,,12:00:00 PM,
312,St. James Episcopal Church-Hope Net,3903 Wilshire Boulevard,Los Angeles,90010,323-934-5870,chhelm@ca.rr.com,Cathy Helm,,,Thursday,8:00:00 AM,9:00:00 AM,,,
313,St. Athanasius & St. Paul Church,840 Echo Park Avenue,Los Angeles,90026,213.908.8827,ftorlaw@gmail.com,Francisco Torrero,,,Friday,8:00:00 AM,10:30:00 AM,,,
315,St. Philip's Episcopal Church,2800 Stanford Avenue,Los Angeles,90011,323-291-8917,ctswagar2@aol.com,Aaron Gibcon,,2nd & 4th,Tuesday,7:30:00 AM,8:30:00 AM,,,
320,San Gabriel Valley Y.W.C.A.,510 N. Vineland Avenue,La Puente,91746,626-333-0294,kiki5765@hotmail.com,Angelica Recio,,,Friday,9:00:00 AM,11:00:00 AM,,,
332,Meet Each Need with Dignity,10641 San Fernando Road,Pacoima,91331,818.686.7334,Richard@mendpoverty.org,Richard Weinroth,,,Tuesday,8:00:00 AM,,,2:00:00 PM,
332,Meet Each Need with Dignity,10641 San Fernando Road,Pacoima,91331,818.686.7334,Richard@mendpoverty.org,Richard Weinroth,,,Thursday,8:00:00 AM,,,2:00:00 PM,
332,Meet Each Need with Dignity,10641 San Fernando Road,Pacoima,91331,818.686.7334,Richard@mendpoverty.org,Richard Weinroth,,,Friday,8:00:00 AM,,,2:00:00 PM,
332,Meet Each Need with Dignity,10641 San Fernando Road,Pacoima,91331,818.686.7334,Richard@mendpoverty.org,Richard Weinroth,,,Saturday,9:00:00 AM,,,12:00:00 PM,
334,Fred Jordan Mission,445  Towne Avenue,Los Angeles,90013,213-489-7763,debbie@fjm.org,Debbie Smith,,,Monday,,,12:00:00 PM,1:00:00 PM,
334,Fred Jordan Mission,445  Towne Avenue,Los Angeles,90013,213-489-7763,debbie@fjm.org,Debbie Smith,,,Tuesday,,,12:00:00 PM,1:00:00 PM,
334,Fred Jordan Mission,445  Towne Avenue,Los Angeles,90013,213-489-7763,debbie@fjm.org,Debbie Smith,,,Wednesday,,,12:00:00 PM,1:00:00 PM,
334,Fred Jordan Mission,445  Towne Avenue,Los Angeles,90013,213-489-7763,debbie@fjm.org,Debbie Smith,,,Thursday,,,12:00:00 PM,1:00:00 PM,
334,Fred Jordan Mission,445  Towne Avenue,Los Angeles,90013,213-489-7763,debbie@fjm.org,Debbie Smith,,,Friday,,,12:00:00 PM,1:00:00 PM,
337,Sacred Heart Church,2210 Sichel Street,Los Angeles,90031,323.221.3179,angel.acuna99@gmail.com,Rosa Acu–a,,1st & 3rd,Thursday,10:00:00 AM,,,12:30:00 PM,
342,Salvation Army- Whittier Corp.,7926 Pickering Avenue,Whittier,90602,562-698-8348,maggie.alvarez@usw.salvationarmy.org,Maggie Alvarez,,,Monday,,,1:00:00 PM,2:45:00 PM,
342,Salvation Army- Whittier Corp.,7926 Pickering Avenue,Whittier,90602,562-698-8348,maggie.alvarez@usw.salvationarmy.org,Maggie Alvarez,,,Tuesday,,,1:00:00 PM,2:45:00 PM,
342,Salvation Army- Whittier Corp.,7926 Pickering Avenue,Whittier,90602,562-698-8348,maggie.alvarez@usw.salvationarmy.org,Maggie Alvarez,,,Wednesday,,,1:00:00 PM,2:45:00 PM,
342,Salvation Army- Whittier Corp.,7926 Pickering Avenue,Whittier,90602,562-698-8348,maggie.alvarez@usw.salvationarmy.org,Maggie Alvarez,,,Thursday,,,1:00:00 PM,2:45:00 PM,
342,Salvation Army- Whittier Corp.,7926 Pickering Avenue,Whittier,90602,562-698-8348,maggie.alvarez@usw.salvationarmy.org,Maggie Alvarez,,,Friday,,,1:00:00 PM,2:45:00 PM,
350,St. Charles Service Center,10825 Moorpark Street,North Hollywood,91602,818.985.7365,scholyfamily@gmail.com,Vivian Bush,,,Tuesday,9:00:00 AM,11:45:00 AM,,,
350,St. Charles Service Center,10825 Moorpark Street,North Hollywood,91602,818.985.7365,scholyfamily@gmail.com,Vivian Bush,,,Wednesday,9:00:00 AM,11:45:00 AM,,,
360,Salvation Army-Pomona,490 E. La Verne Anenue,Pomona,91767-2800,909.623.1579,deborah.hall@usw.salvationarmy.org,Deborah Hall,,,Monday,8:00:00 AM,12:00:00 PM,1:00:00 PM,4:00:00 PM,
360,Salvation Army-Pomona,490 E. La Verne Anenue,Pomona,91767-2800,909.623.1579,deborah.hall@usw.salvationarmy.org,Deborah Hall,,,Tuesday,8:00:00 AM,,,12:00:00 PM,
360,Salvation Army-Pomona,490 E. La Verne Anenue,Pomona,91767-2800,909.623.1579,deborah.hall@usw.salvationarmy.org,Deborah Hall,,,Wednesday,8:00:00 AM,12:00:00 PM,1:00:00 PM,4:00:00 PM,
360,Salvation Army-Pomona,490 E. La Verne Anenue,Pomona,91767-2800,909.623.1579,deborah.hall@usw.salvationarmy.org,Deborah Hall,,,Thursday,8:00:00 AM,,,12:00:00 PM,
360,Salvation Army-Pomona,490 E. La Verne Anenue,Pomona,91767-2800,909.623.1579,deborah.hall@usw.salvationarmy.org,Deborah Hall,,,Friday,8:00:00 AM,12:00:00 PM,1:00:00 PM,4:00:00 PM,
361,Church of the Nazarene-Rosemead,2703 Walnut Grove Avenue,Rosemead,91770,562-695-0019,pianomen@juno.com,Steve Gonzales,,3rd,Saturday,10:00:00 AM,,,12:00:00 PM,
374,City of Norwark/Department of Social Services,11929 Alondra Boulevard,Norwalk,90650,562-929-5544,vgarcia@norwalkca.gov,Gloria Mendoza,,,Monday,8:00:00 AM,,,5:30:00 PM,
374,City of Norwark/Department of Social Services,11929 Alondra Boulevard,Norwalk,90650,562-929-5544,vgarcia@norwalkca.gov,Gloria Mendoza,,,Tuesday,8:00:00 AM,,,5:30:00 PM,
374,City of Norwark/Department of Social Services,11929 Alondra Boulevard,Norwalk,90650,562-929-5544,vgarcia@norwalkca.gov,Gloria Mendoza,,,Wednesday,8:00:00 AM,,,5:30:00 PM,
374,City of Norwark/Department of Social Services,11929 Alondra Boulevard,Norwalk,90650,562-929-5544,vgarcia@norwalkca.gov,Gloria Mendoza,,,Thursday,8:00:00 AM,,,5:30:00 PM,
374,City of Norwark/Department of Social Services,11929 Alondra Boulevard,Norwalk,90650,562-929-5544,vgarcia@norwalkca.gov,Gloria Mendoza,,,Friday,8:00:00 AM,,,4:30:00 PM,
380,First African Methodist Episcopal Church,2270 S. Harvard Boulevard,Los Angeles,90018,323 735-1251,okctola@aol.com,Vanessa Parker,,4th,Saturday,9:00:00 AM,,,12:00:00 PM,
383,First Church of the Nazarene-Pasadena,3700 E. Sierra Madre Boulevard,Pasadena,91107,626-351-9631,vfithian@sbcglobal.net,Vivian Fithian,,,Wednesday,,,2:00:00 PM,4:00:00 PM,
392,St. Margaret's Center,10217 Inglewood Avenue,Lennox,90304,310.672.2208,maerlandson@ccharities.org,Mary- Agnes Erlandson,,,Monday,9:00:00 AM,12:00:00 PM,1:00:00 PM,4:00:00 PM,
